date,sell_quantity,sell_value,buy_quantity,buy_value,daily_balance,inventory,avg_temperature,precipitation,incc,fuel_price,is_holiday
2024-01-01,,,,,0,175,24.9,0.1,0.0027,6.04,1
2024-01-02,163.0,32.1,280.0,28.97,117,292,25.0,0.2,0.0027,6.04,0
2024-01-03,215.0,31.13,,28.97,-215,77,24.8,4.9,0.0027,6.04,0
2024-01-04,,,240.0,28.43,240,317,24.8,0.0,0.0027,6.04,0
2024-01-05,55.0,35.5,240.0,28.43,185,502,25.1,0.0,0.0027,6.04,0
2024-01-06,2.0,33.5,,28.43,-2,500,26.4,0.0,0.0027,6.04,0
2024-01-07,,,,28.43,0,500,27.5,2.1,0.0027,6.05,0
2024-01-08,129.0,34.53,,28.43,-129,371,27.0,0.0,0.0027,6.05,0
2024-01-09,84.0,35.29,240.0,28.43,156,527,26.8,11.3,0.0027,6.05,0
2024-01-10,142.0,34.92,,28.43,-142,385,25.4,1.7,0.0027,6.05,0
2024-01-11,147.0,35.12,240.0,28.43,93,478,24.6,17.6,0.0027,6.05,0
2024-01-12,164.0,32.63,,28.43,-164,314,25.0,10.1,0.0027,6.05,0
2024-01-13,12.0,34.2,,28.43,-12,302,23.4,21.4,0.0027,6.05,0
2024-01-14,,,,28.43,0,302,25.5,0.3,0.0027,6.03,0
2024-01-15,60.0,33.45,280.0,28.97,220,522,25.0,0.7,0.0027,6.03,0
2024-01-16,484.0,35.49,200.0,28.47,-284,238,27.0,0.4,0.0027,6.03,0
2024-01-17,149.0,28.43,280.0,28.97,131,369,27.9,0.5,0.0027,6.03,0
2024-01-18,95.0,35.56,,28.97,-95,274,26.5,0.7,0.0027,6.03,0
2024-01-19,208.0,32.45,280.0,28.97,72,346,24.8,13.9,0.0027,6.03,0
2024-01-20,75.0,38.72,,28.97,-75,271,23.2,8.1,0.0027,6.03,0
2024-01-21,,,,28.97,0,271,24.9,10.0,0.0027,5.98,0
2024-01-22,195.0,35.06,120.0,28.47,-75,196,24.0,0.0,0.0027,5.98,0
2024-01-23,149.0,35.42,240.0,28.43,91,287,20.1,23.9,0.0027,5.98,0
2024-01-24,221.0,30.8,240.0,27.94,19,306,21.3,0.0,0.0027,5.98,0
2024-01-25,186.0,35.59,,27.94,-186,120,20.5,0.6,0.0027,5.98,0
2024-01-26,130.0,35.04,280.0,26.65,150,270,20.9,0.3,0.0027,5.98,0
2024-01-27,45.0,33.85,,26.65,-45,225,22.8,0.0,0.0027,5.98,0
2024-01-28,,,,26.65,0,225,24.0,1.5,0.0027,5.98,0
2024-01-29,165.0,34.08,,26.65,-165,60,22.9,0.1,0.0027,5.98,0
2024-01-30,160.0,35.83,252.0,30.66,92,152,25.9,0.0,0.0027,5.98,0
2024-01-31,165.0,34.99,,30.66,-165,-13,22.5,1.4,0.0027,5.98,0
2024-02-01,257.0,36.2,240.0,26.63,-17,-30,23.3,1.8,0.0013,5.98,0
2024-02-02,301.0,32.28,240.0,26.63,-61,-91,23.0,8.4,0.0013,5.98,0
2024-02-03,20.0,34.5,400.0,28.5,380,289,23.4,1.5,0.0013,5.98,0
2024-02-04,,,,28.5,0,289,23.7,8.9,0.0013,6.02,0
2024-02-05,265.0,36.11,,28.5,-265,24,25.8,0.0,0.0013,6.02,0
2024-02-06,23.0,33.17,,28.5,-23,1,25.7,0.9,0.0013,6.02,0
2024-02-07,182.0,31.15,240.0,27.94,58,59,25.4,6.1,0.0013,6.02,0
2024-02-08,56.0,35.2,,27.94,-56,3,25.6,0.0,0.0013,6.02,0
2024-02-09,138.0,34.5,385.0,28.22,247,250,27.4,0.0,0.0013,6.02,0
2024-02-10,,,,28.22,0,250,28.0,0.0,0.0013,6.02,0
2024-02-11,,,,28.22,0,250,27.6,0.0,0.0013,6.0,0
2024-02-12,57.0,36.3,54.0,28.5,-3,247,27.2,0.5,0.0013,6.0,0
2024-02-13,,,,28.5,0,247,27.4,0.4,0.0013,6.0,0
2024-02-14,118.0,35.27,280.0,28.44,162,409,23.0,20.1,0.0013,6.0,0
2024-02-15,126.0,37.92,,28.44,-126,283,22.2,18.0,0.0013,6.0,0
2024-02-16,92.0,36.14,,28.44,-92,191,21.8,13.3,0.0013,6.0,0
2024-02-17,,,,28.44,0,191,24.2,1.4,0.0013,6.0,0
2024-02-18,,,,28.44,0,191,23.3,0.3,0.0013,6.0,0
2024-02-19,285.0,35.33,240.0,27.91,-45,146,22.7,1.4,0.0013,6.0,0
2024-02-20,130.0,34.64,240.0,27.91,110,256,22.6,25.0,0.0013,6.0,0
2024-02-21,159.0,36.37,80.0,29.9,-79,177,21.8,5.1,0.0013,6.0,0
2024-02-22,158.0,35.85,480.0,28.18,322,499,24.4,5.0,0.0013,6.0,0
2024-02-23,161.0,35.52,,28.18,-161,338,25.0,5.9,0.0013,6.0,0
2024-02-24,,,,28.18,0,338,26.4,4.0,0.0013,6.0,0
2024-02-25,,,,28.18,0,338,27.4,0.5,0.0013,6.0,0
2024-02-26,134.0,35.09,280.0,28.44,146,484,27.1,0.4,0.0013,6.0,0
2024-02-27,127.0,37.71,,28.44,-127,357,27.1,0.7,0.0013,6.0,0
2024-02-28,189.0,34.71,200.0,27.95,11,368,28.7,0.5,0.0013,6.0,0
2024-02-29,243.0,35.15,320.0,29.9,77,445,27.3,14.6,0.0013,6.0,0
2024-03-01,35.0,33.73,,29.9,-35,410,25.4,7.9,0.0028000000000000004,6.0,0
2024-03-02,20.0,41.6,,29.9,-20,390,24.8,0.0,0.0028000000000000004,6.0,0
2024-03-03,,,,29.9,0,390,25.2,0.0,0.0028000000000000004,5.99,0
2024-03-04,200.0,34.99,200.0,27.91,0,390,26.6,0.0,0.0028000000000000004,5.99,0
2024-03-05,99.0,37.4,280.0,28.44,181,571,26.7,5.9,0.0028000000000000004,5.99,0
2024-03-06,196.0,34.86,280.0,28.44,84,655,25.7,1.7,0.0028000000000000004,5.99,0
2024-03-07,148.0,35.63,80.0,26.68,-68,587,25.0,3.0,0.0028000000000000004,5.99,0
2024-03-08,211.0,35.42,240.0,26.95,29,616,25.6,2.0,0.0028000000000000004,5.99,0
2024-03-09,15.0,35.57,,26.95,-15,601,25.0,4.9,0.0028000000000000004,5.99,0
2024-03-10,,,,26.95,0,601,24.2,1.8,0.0028000000000000004,5.99,0
2024-03-11,220.0,35.91,240.0,26.92,20,621,24.7,0.0,0.0028000000000000004,5.99,0
2024-03-12,165.0,35.77,280.0,27.43,115,736,24.8,0.0,0.0028000000000000004,5.99,0
2024-03-13,213.0,36.29,,27.43,-213,523,26.3,0.0,0.0028000000000000004,5.99,0
2024-03-14,173.0,36.21,280.0,27.43,107,630,27.7,0.0,0.0028000000000000004,5.99,0
2024-03-15,142.0,35.53,280.0,27.43,138,768,28.4,0.0,0.0028000000000000004,5.99,0
2024-03-16,81.0,33.98,,27.43,-81,687,28.4,0.0,0.0028000000000000004,5.99,0
2024-03-17,,,,27.43,0,687,26.9,13.2,0.0028000000000000004,6.01,0
2024-03-18,191.0,35.83,280.0,27.43,89,252,26.4,4.1,0.0028000000000000004,6.01,0
2024-03-19,226.0,34.81,280.0,27.43,54,357,26.8,9.3,0.0028000000000000004,6.01,0
2024-03-20,180.0,34.61,,27.43,-180,177,26.3,0.2,0.0028000000000000004,6.01,0
2024-03-21,101.0,34.66,280.0,27.43,179,356,26.3,12.1,0.0028000000000000004,6.01,0
2024-03-22,416.0,34.49,280.0,27.43,-136,220,23.1,8.1,0.0028000000000000004,6.01,0
2024-03-23,8.0,34.7,,27.43,-8,212,20.4,0.8,0.0028000000000000004,6.01,0
2024-03-24,,,,27.43,0,212,19.0,29.3,0.0028000000000000004,6.0,0
2024-03-25,200.0,35.92,,27.43,-200,12,23.0,0.3,0.0028000000000000004,6.0,0
2024-03-26,178.0,35.38,280.0,27.43,102,114,22.6,2.8,0.0028000000000000004,6.0,0
2024-03-27,128.0,35.76,280.0,27.43,152,266,21.3,2.9,0.0028000000000000004,6.0,0
2024-03-28,150.0,34.12,,27.43,-150,116,22.5,4.9,0.0028000000000000004,6.0,0
2024-03-29,,,,27.43,0,116,22.6,0.8,0.0028000000000000004,6.0,1
2024-03-30,8.0,37.2,,27.43,-8,108,24.2,0.0,0.0028000000000000004,6.0,0
2024-03-31,,,,27.43,0,108,24.6,0.0,0.0028000000000000004,5.98,0
2024-04-01,195.0,36.61,240.0,28.18,45,153,24.9,0.1,0.0052,5.98,0
2024-04-02,168.0,36.97,280.0,28.64,112,265,24.0,2.6,0.0052,5.98,0
2024-04-03,134.0,32.66,240.0,28.18,106,371,25.0,0.0,0.0052,5.98,0
2024-04-04,226.0,35.66,,28.18,-226,145,26.1,0.0,0.0052,5.98,0
2024-04-05,111.0,35.53,280.0,28.64,169,314,26.0,0.0,0.0052,5.98,0
2024-04-06,4.0,36.9,,28.64,-4,310,24.2,0.0,0.0052,5.98,0
2024-04-07,,,,28.64,0,310,24.0,0.0,0.0052,5.98,0
2024-04-08,123.0,36.9,280.0,28.64,157,467,23.0,4.1,0.0052,5.98,0
2024-04-09,169.0,37.34,,28.64,-169,298,22.6,3.2,0.0052,5.98,0
2024-04-10,155.0,34.95,240.0,28.18,85,383,23.4,1.8,0.0052,5.98,0
2024-04-11,250.0,35.78,,28.18,-250,133,24.7,0.5,0.0052,5.98,0
2024-04-12,128.0,34.61,280.0,28.64,152,285,24.5,0.0,0.0052,5.98,0
2024-04-13,36.0,37.47,,28.64,-36,249,24.6,2.7,0.0052,5.98,0
2024-04-14,,,,28.64,0,249,22.6,9.3,0.0052,5.99,0
2024-04-15,256.0,35.61,240.0,28.18,-16,233,24.0,0.3,0.0052,5.99,0
2024-04-16,62.0,35.69,280.0,28.64,218,451,25.1,0.0,0.0052,5.99,0
2024-04-17,60.0,36.04,,28.64,-60,391,23.8,7.3,0.0052,5.99,0
2024-04-18,159.0,35.53,280.0,28.64,121,512,21.5,0.0,0.0052,5.99,0
2024-04-19,220.0,32.68,,28.64,-220,292,19.8,0.0,0.0052,5.99,0
2024-04-20,2.0,34.9,,28.64,-2,290,21.1,0.0,0.0052,5.99,0
2024-04-21,,,,28.64,0,290,22.1,0.0,0.0052,6.0,1
2024-04-22,,,520.0,28.41,520,810,23.5,0.0,0.0052,6.0,0
2024-04-23,145.0,34.95,,28.41,-145,665,24.1,0.0,0.0052,6.0,0
2024-04-24,236.0,34.46,240.0,28.18,4,669,24.0,0.0,0.0052,6.0,0
2024-04-25,188.0,35.44,240.0,28.18,52,721,24.2,0.0,0.0052,6.0,0
2024-04-26,41.0,35.17,,28.18,-41,680,24.3,0.0,0.0052,6.0,0
2024-04-27,1.0,41.6,,28.18,-1,679,25.5,0.0,0.0052,6.0,0
2024-04-28,,,,28.18,0,679,25.8,0.0,0.0052,5.99,0
2024-04-29,57.0,35.36,280.0,28.03,223,902,25.2,0.0,0.0052,5.99,0
2024-04-30,118.0,35.79,,28.03,-118,784,25.2,0.0,0.0052,5.99,0
2024-05-01,,,,28.03,0,784,25.1,0.0,0.0086,5.99,1
2024-05-02,176.0,36.26,280.0,28.03,104,888,25.6,0.0,0.0086,5.99,0
2024-05-03,120.0,34.94,,28.03,-120,768,25.6,0.0,0.0086,5.99,0
2024-05-04,7.0,33.95,,28.03,-7,761,25.2,0.0,0.0086,5.99,0
2024-05-05,,,,28.03,0,761,25.0,0.0,0.0086,5.99,0
2024-05-06,194.0,35.66,280.0,29.8,86,847,24.0,0.0,0.0086,5.99,0
2024-05-07,110.0,35.83,280.0,29.8,170,1017,25.0,0.0,0.0086,5.99,0
2024-05-08,161.0,35.95,280.0,29.8,119,1136,25.3,0.0,0.0086,5.99,0
2024-05-09,118.0,35.54,,29.8,-118,1018,24.3,0.0,0.0086,5.99,0
2024-05-10,139.0,34.94,240.0,27.09,101,1119,23.9,0.0,0.0086,5.99,0
2024-05-11,37.0,34.27,,27.09,-37,1082,24.8,0.0,0.0086,5.99,0
2024-05-12,,,,27.09,0,1082,24.6,0.0,0.0086,5.99,0
2024-05-13,203.0,35.41,,27.09,-203,879,25.0,0.0,0.0086,5.99,0
2024-05-14,224.0,36.0,560.0,27.53,336,1215,23.2,0.2,0.0086,5.99,0
2024-05-15,123.0,37.19,,27.53,-123,1092,21.3,0.0,0.0086,5.99,0
2024-05-16,84.0,35.03,,27.53,-84,1008,23.1,0.0,0.0086,5.99,0
2024-05-17,207.0,34.49,,27.53,-207,801,25.0,0.0,0.0086,5.99,0
2024-05-18,1.0,41.6,,27.53,-1,800,24.6,0.0,0.0086,5.99,0
2024-05-19,,,,27.53,0,800,23.4,0.0,0.0086,5.97,0
2024-05-20,133.0,36.27,,27.53,-133,667,22.9,0.0,0.0086,5.97,0
2024-05-21,89.0,34.59,280.0,28.72,191,858,22.9,0.0,0.0086,5.97,0
2024-05-22,140.0,35.84,,28.72,-140,718,22.8,0.0,0.0086,5.97,0
2024-05-23,53.0,34.17,,28.72,-53,665,23.5,0.0,0.0086,5.97,0
2024-05-24,78.0,36.72,,28.72,-78,587,19.4,0.2,0.0086,5.97,0
2024-05-25,8.0,34.5,,28.72,-8,579,19.3,1.4,0.0086,5.97,0
2024-05-26,,,,28.72,0,579,16.2,16.1,0.0086,5.98,0
2024-05-27,168.0,36.48,520.0,28.49,352,931,19.1,5.4,0.0086,5.98,0
2024-05-28,89.0,34.79,,28.49,-89,144,15.3,0.0,0.0086,5.98,0
2024-05-29,183.0,32.79,280.0,28.72,97,241,13.0,0.0,0.0086,5.98,0
2024-05-30,,,,28.72,0,241,14.1,0.0,0.0086,5.98,0
2024-05-31,89.0,37.23,,28.72,-89,152,14.9,0.0,0.0086,5.98,0
2024-06-01,3.0,35.9,,28.72,-3,149,17.7,0.0,0.0070999999999999995,5.98,0
2024-06-02,,,,28.72,0,149,19.9,0.0,0.0070999999999999995,5.96,0
2024-06-03,140.0,36.57,240.0,28.26,100,249,21.4,0.0,0.0070999999999999995,5.96,0
2024-06-04,183.0,35.08,,28.26,-183,66,19.7,0.0,0.0070999999999999995,5.96,0
2024-06-05,55.0,35.4,640.0,28.4,585,651,19.1,0.0,0.0070999999999999995,5.96,0
2024-06-06,146.0,35.52,,28.4,-146,505,21.0,0.0,0.0070999999999999995,5.96,0
2024-06-07,125.0,35.35,,28.4,-125,380,21.1,0.0,0.0070999999999999995,5.96,0
2024-06-08,27.0,34.4,,28.4,-27,353,21.2,0.0,0.0070999999999999995,5.96,0
2024-06-09,,,,28.4,0,353,21.9,0.0,0.0070999999999999995,6.0,0
2024-06-10,45.0,37.47,,28.4,-45,308,22.4,0.0,0.0070999999999999995,6.0,0
2024-06-11,76.0,31.59,280.0,28.72,204,512,22.0,0.0,0.0070999999999999995,6.0,0
2024-06-12,154.0,36.76,280.0,28.72,126,638,21.6,0.0,0.0070999999999999995,6.0,0
2024-06-13,105.0,35.64,,28.72,-105,533,21.9,0.0,0.0070999999999999995,6.0,0
2024-06-14,60.0,34.92,280.0,28.72,220,753,22.1,0.0,0.0070999999999999995,6.0,0
2024-06-15,11.0,35.7,,28.72,-11,742,22.7,0.0,0.0070999999999999995,6.0,0
2024-06-16,,,,28.72,0,742,22.9,0.0,0.0070999999999999995,6.0,0
2024-06-17,175.0,35.9,,28.72,-175,567,21.7,0.0,0.0070999999999999995,6.0,0
2024-06-18,170.0,36.78,200.0,28.26,30,597,20.9,0.0,0.0070999999999999995,6.0,0
2024-06-19,188.0,36.81,,28.26,-188,409,21.7,0.0,0.0070999999999999995,6.0,0
2024-06-20,71.0,35.87,240.0,28.26,169,578,21.9,0.0,0.0070999999999999995,6.0,0
2024-06-21,246.0,36.34,560.0,30.9,314,892,20.7,0.0,0.0070999999999999995,6.0,0
2024-06-22,,,,30.9,0,892,21.7,0.0,0.0070999999999999995,6.0,0
2024-06-23,,,,30.9,0,892,23.0,0.0,0.0070999999999999995,5.99,0
2024-06-24,172.0,36.26,,30.9,-172,720,23.9,0.0,0.0070999999999999995,5.99,0
2024-06-25,88.0,36.9,,30.9,-88,632,22.6,0.0,0.0070999999999999995,5.99,0
2024-06-26,188.0,37.01,280.0,28.72,92,724,22.0,0.0,0.0070999999999999995,5.99,0
2024-06-27,138.0,36.32,200.0,28.26,62,786,20.9,0.0,0.0070999999999999995,5.99,0
2024-06-28,103.0,35.8,240.0,28.26,137,923,21.2,0.0,0.0070999999999999995,5.99,0
2024-06-29,15.0,36.23,,28.26,-15,908,22.4,0.0,0.0070999999999999995,5.99,0
2024-06-30,,,,28.26,0,908,18.0,2.8,0.0070999999999999995,5.99,0
2024-07-01,163.0,36.18,240.0,28.26,77,985,13.7,5.2,0.0072,5.99,0
2024-07-02,182.0,32.05,,28.26,-182,803,17.0,0.0,0.0072,5.99,0
2024-07-03,85.0,37.44,280.0,28.72,195,998,20.7,0.0,0.0072,5.99,0
2024-07-04,165.0,36.8,,28.72,-165,833,22.3,0.0,0.0072,5.99,0
2024-07-05,140.0,36.69,,28.72,-140,693,21.4,0.0,0.0072,5.99,0
2024-07-06,2.0,38.9,200.0,28.26,198,891,20.3,0.0,0.0072,5.99,0
2024-07-07,,,,28.26,0,891,20.7,0.0,0.0072,6.01,0
2024-07-08,35.0,40.1,,28.26,-35,856,19.1,5.0,0.0072,6.01,0
2024-07-09,,,,28.26,0,856,13.9,26.3,0.0072,6.01,1
2024-07-10,91.0,36.24,280.0,32.1,189,1045,16.5,2.0,0.0072,6.01,0
2024-07-11,249.0,36.13,,32.1,-249,796,20.5,0.0,0.0072,6.01,0
2024-07-12,115.0,36.94,74.0,32.1,-41,755,20.2,0.0,0.0072,6.01,0
2024-07-13,20.0,36.5,,32.1,-20,735,18.6,0.0,0.0072,6.01,0
2024-07-14,,,,32.1,0,735,19.7,0.0,0.0072,6.03,0
2024-07-15,103.0,36.27,,32.1,-103,632,19.1,0.0,0.0072,6.03,0
2024-07-16,30.0,34.9,,32.1,-30,602,18.6,0.0,0.0072,6.03,0
2024-07-17,155.0,36.94,280.0,29.91,125,727,19.3,0.0,0.0072,6.03,0
2024-07-18,365.0,35.6,240.0,29.54,-125,602,20.7,0.0,0.0072,6.03,0
2024-07-19,213.0,36.98,360.0,29.91,147,749,19.3,0.0,0.0072,6.03,0
2024-07-20,2.0,33.9,,29.91,-2,747,18.7,0.0,0.0072,6.03,0
2024-07-21,,,,29.91,0,747,18.8,0.0,0.0072,6.05,0
2024-07-22,112.0,37.16,200.0,29.54,88,835,20.6,0.0,0.0072,6.05,0
2024-07-23,277.0,35.84,,29.54,-277,558,20.0,0.0,0.0072,6.05,0
2024-07-24,343.0,35.24,240.0,27.77,-103,455,20.3,0.0,0.0072,6.05,0
2024-07-25,182.0,35.6,240.0,27.77,58,513,21.0,0.0,0.0072,6.05,0
2024-07-26,62.0,35.4,280.0,28.13,218,731,21.2,0.0,0.0072,6.05,0
2024-07-27,46.0,36.62,,28.13,-46,685,21.5,0.0,0.0072,6.05,0
2024-07-28,,,,28.13,0,685,22.7,0.0,0.0072,6.04,0
2024-07-29,32.0,35.57,,28.13,-32,653,23.0,0.0,0.0072,6.04,0
2024-07-30,193.0,36.17,,28.13,-193,460,16.1,0.7,0.0072,6.04,0
2024-07-31,129.0,36.41,440.0,29.32,311,771,19.7,0.0,0.0072,6.04,0
2024-08-01,20.0,35.9,,29.32,-20,751,20.7,0.0,0.006999999999999999,6.04,1
2024-08-02,170.0,35.97,280.0,28.13,110,861,21.6,0.0,0.006999999999999999,6.04,0
2024-08-03,28.0,35.92,,28.13,-28,833,23.6,0.0,0.006999999999999999,6.04,0
2024-08-04,,,,28.13,0,833,23.0,0.0,0.006999999999999999,6.03,0
2024-08-05,252.0,35.71,,28.13,-252,581,23.9,0.0,0.006999999999999999,6.03,0
2024-08-06,105.0,35.33,360.0,29.32,255,836,23.8,0.0,0.006999999999999999,6.03,0
2024-08-07,232.0,35.89,400.0,27.95,168,1004,25.1,0.0,0.006999999999999999,6.03,0
2024-08-08,105.0,35.8,,27.95,-105,899,24.0,0.0,0.006999999999999999,6.03,0
2024-08-09,18.0,37.1,,27.95,-18,881,17.5,15.0,0.006999999999999999,6.03,0
2024-08-10,,,,27.95,0,881,12.5,1.6,0.006999999999999999,6.03,0
2024-08-11,,,,27.95,0,881,13.8,0.0,0.006999999999999999,6.01,0
2024-08-12,200.0,36.28,480.0,27.26,280,1161,14.1,0.0,0.006999999999999999,6.01,0
2024-08-13,145.0,35.01,280.0,30.5,135,1296,14.0,0.0,0.006999999999999999,6.01,0
2024-08-14,229.0,35.73,,30.5,-229,1067,15.3,0.0,0.006999999999999999,6.01,0
2024-08-15,226.0,36.33,280.0,27.43,54,1121,21.5,0.0,0.006999999999999999,6.01,0
2024-08-16,149.0,35.83,240.0,26.6,91,1212,24.5,0.0,0.006999999999999999,6.01,0
2024-08-17,31.0,39.37,,26.6,-31,1181,25.1,0.0,0.006999999999999999,6.01,0
2024-08-18,,,,26.6,0,1181,25.1,0.0,0.006999999999999999,6.03,0
2024-08-19,274.0,35.76,280.0,26.93,6,1187,25.8,0.0,0.006999999999999999,6.03,0
2024-08-20,144.0,36.35,280.0,26.93,136,1323,26.2,0.0,0.006999999999999999,6.03,0
2024-08-21,149.0,36.42,,26.93,-149,1174,23.8,0.0,0.006999999999999999,6.03,0
2024-08-22,132.0,35.3,,26.93,-132,1042,25.9,0.0,0.006999999999999999,6.03,0
2024-08-23,67.0,35.6,,26.93,-67,975,26.2,0.0,0.006999999999999999,6.03,0
