,date,is_holiday,holiday_name
0,2024-01-01,1,Confraternização Universal
1,2024-01-02,0,None
2,2024-01-03,0,None
3,2024-01-04,0,None
4,2024-01-05,0,None
5,2024-01-06,0,None
6,2024-01-07,0,None
7,2024-01-08,0,None
8,2024-01-09,0,None
9,2024-01-10,0,None
10,2024-01-11,0,None
11,2024-01-12,0,None
12,2024-01-13,0,None
13,2024-01-14,0,None
14,2024-01-15,0,None
15,2024-01-16,0,None
16,2024-01-17,0,None
17,2024-01-18,0,None
18,2024-01-19,0,None
19,2024-01-20,0,None
20,2024-01-21,0,None
21,2024-01-22,0,None
22,2024-01-23,0,None
23,2024-01-24,0,None
24,2024-01-25,0,None
25,2024-01-26,0,None
26,2024-01-27,0,None
27,2024-01-28,0,None
28,2024-01-29,0,None
29,2024-01-30,0,None
30,2024-01-31,0,None
31,2024-02-01,0,None
32,2024-02-02,0,None
33,2024-02-03,0,None
34,2024-02-04,0,None
35,2024-02-05,0,None
36,2024-02-06,0,None
37,2024-02-07,0,None
38,2024-02-08,0,None
39,2024-02-09,0,None
40,2024-02-10,0,None
41,2024-02-11,0,None
42,2024-02-12,0,None
43,2024-02-13,0,None
44,2024-02-14,0,None
45,2024-02-15,0,None
46,2024-02-16,0,None
47,2024-02-17,0,None
48,2024-02-18,0,None
49,2024-02-19,0,None
50,2024-02-20,0,None
51,2024-02-21,0,None
52,2024-02-22,0,None
53,2024-02-23,0,None
54,2024-02-24,0,None
55,2024-02-25,0,None
56,2024-02-26,0,None
57,2024-02-27,0,None
58,2024-02-28,0,None
59,2024-02-29,0,None
60,2024-03-01,0,None
61,2024-03-02,0,None
62,2024-03-03,0,None
63,2024-03-04,0,None
64,2024-03-05,0,None
65,2024-03-06,0,None
66,2024-03-07,0,None
67,2024-03-08,0,None
68,2024-03-09,0,None
69,2024-03-10,0,None
70,2024-03-11,0,None
71,2024-03-12,0,None
72,2024-03-13,0,None
73,2024-03-14,0,None
74,2024-03-15,0,None
75,2024-03-16,0,None
76,2024-03-17,0,None
77,2024-03-18,0,None
78,2024-03-19,0,None
79,2024-03-20,0,None
80,2024-03-21,0,None
81,2024-03-22,0,None
82,2024-03-23,0,None
83,2024-03-24,0,None
84,2024-03-25,0,None
85,2024-03-26,0,None
86,2024-03-27,0,None
87,2024-03-28,0,None
88,2024-03-29,1,Sexta-feira Santa
89,2024-03-30,0,None
90,2024-03-31,0,None
91,2024-04-01,0,None
92,2024-04-02,0,None
93,2024-04-03,0,None
94,2024-04-04,0,None
95,2024-04-05,0,None
96,2024-04-06,0,None
97,2024-04-07,0,None
98,2024-04-08,0,None
99,2024-04-09,0,None
100,2024-04-10,0,None
101,2024-04-11,0,None
102,2024-04-12,0,None
103,2024-04-13,0,None
104,2024-04-14,0,None
105,2024-04-15,0,None
106,2024-04-16,0,None
107,2024-04-17,0,None
108,2024-04-18,0,None
109,2024-04-19,0,None
110,2024-04-20,0,None
111,2024-04-21,1,Tiradentes
112,2024-04-22,0,None
113,2024-04-23,0,None
114,2024-04-24,0,None
115,2024-04-25,0,None
116,2024-04-26,0,None
117,2024-04-27,0,None
118,2024-04-28,0,None
119,2024-04-29,0,None
120,2024-04-30,0,None
121,2024-05-01,1,Dia do Trabalhador
122,2024-05-02,0,None
123,2024-05-03,0,None
124,2024-05-04,0,None
125,2024-05-05,0,None
126,2024-05-06,0,None
127,2024-05-07,0,None
128,2024-05-08,0,None
129,2024-05-09,0,None
130,2024-05-10,0,None
131,2024-05-11,0,None
132,2024-05-12,0,None
133,2024-05-13,0,None
134,2024-05-14,0,None
135,2024-05-15,0,None
136,2024-05-16,0,None
137,2024-05-17,0,None
138,2024-05-18,0,None
139,2024-05-19,0,None
140,2024-05-20,0,None
141,2024-05-21,0,None
142,2024-05-22,0,None
143,2024-05-23,0,None
144,2024-05-24,0,None
145,2024-05-25,0,None
146,2024-05-26,0,None
147,2024-05-27,0,None
148,2024-05-28,0,None
149,2024-05-29,0,None
150,2024-05-30,0,None
151,2024-05-31,0,None
152,2024-06-01,0,None
153,2024-06-02,0,None
154,2024-06-03,0,None
155,2024-06-04,0,None
156,2024-06-05,0,None
157,2024-06-06,0,None
158,2024-06-07,0,None
159,2024-06-08,0,None
160,2024-06-09,0,None
161,2024-06-10,0,None
162,2024-06-11,0,None
163,2024-06-12,0,None
164,2024-06-13,0,None
165,2024-06-14,0,None
166,2024-06-15,0,None
167,2024-06-16,0,None
168,2024-06-17,0,None
169,2024-06-18,0,None
170,2024-06-19,0,None
171,2024-06-20,0,None
172,2024-06-21,0,None
173,2024-06-22,0,None
174,2024-06-23,0,None
175,2024-06-24,0,None
176,2024-06-25,0,None
177,2024-06-26,0,None
178,2024-06-27,0,None
179,2024-06-28,0,None
180,2024-06-29,0,None
181,2024-06-30,0,None
182,2024-07-01,0,None
183,2024-07-02,0,None
184,2024-07-03,0,None
185,2024-07-04,0,None
186,2024-07-05,0,None
187,2024-07-06,0,None
188,2024-07-07,0,None
189,2024-07-08,0,None
190,2024-07-09,1,Revolução Constitucionalista
191,2024-07-10,0,None
192,2024-07-11,0,None
193,2024-07-12,0,None
194,2024-07-13,0,None
195,2024-07-14,0,None
196,2024-07-15,0,None
197,2024-07-16,0,None
198,2024-07-17,0,None
199,2024-07-18,0,None
200,2024-07-19,0,None
201,2024-07-20,0,None
202,2024-07-21,0,None
203,2024-07-22,0,None
204,2024-07-23,0,None
205,2024-07-24,0,None
206,2024-07-25,0,None
207,2024-07-26,0,None
208,2024-07-27,0,None
209,2024-07-28,0,None
210,2024-07-29,0,None
211,2024-07-30,0,None
212,2024-07-31,0,None
213,2024-08-01,0,None
214,2024-08-02,0,None
215,2024-08-03,0,None
216,2024-08-04,0,None
217,2024-08-05,0,None
218,2024-08-06,0,None
219,2024-08-07,0,None
220,2024-08-08,0,None
221,2024-08-09,0,None
222,2024-08-10,0,None
223,2024-08-11,0,None
224,2024-08-12,0,None
225,2024-08-13,0,None
226,2024-08-14,0,None
227,2024-08-15,0,None
228,2024-08-16,0,None
229,2024-08-17,0,None
230,2024-08-18,0,None
231,2024-08-19,0,None
232,2024-08-20,0,None
233,2024-08-21,0,None
234,2024-08-22,0,None
235,2024-08-23,0,None
236,2024-08-24,0,None
237,2024-08-25,0,None
238,2024-08-26,0,None
239,2024-08-27,0,None
240,2024-08-28,0,None
241,2024-08-29,0,None
242,2024-08-30,0,None
243,2024-08-31,0,None
244,2024-09-01,0,None
245,2024-09-02,0,None
246,2024-09-03,0,None
247,2024-09-04,0,None
248,2024-09-05,0,None
249,2024-09-06,0,None
250,2024-09-07,1,Independência do Brasil
251,2024-09-08,0,None
252,2024-09-09,0,None
253,2024-09-10,0,None
254,2024-09-11,0,None
255,2024-09-12,0,None
256,2024-09-13,0,None
257,2024-09-14,0,None
258,2024-09-15,0,None
259,2024-09-16,0,None
260,2024-09-17,0,None
261,2024-09-18,0,None
262,2024-09-19,0,None
263,2024-09-20,0,None
264,2024-09-21,0,None
265,2024-09-22,0,None
266,2024-09-23,0,None
267,2024-09-24,0,None
268,2024-09-25,0,None
269,2024-09-26,0,None
270,2024-09-27,0,None
271,2024-09-28,0,None
272,2024-09-29,0,None
273,2024-09-30,0,None
274,2024-10-01,0,None
275,2024-10-02,0,None
276,2024-10-03,0,None
277,2024-10-04,0,None
278,2024-10-05,0,None
279,2024-10-06,0,None
280,2024-10-07,0,None
281,2024-10-08,0,None
282,2024-10-09,0,None
283,2024-10-10,0,None
284,2024-10-11,0,None
285,2024-10-12,1,Nossa Senhora Aparecida
286,2024-10-13,0,None
287,2024-10-14,0,None
288,2024-10-15,0,None
289,2024-10-16,0,None
290,2024-10-17,0,None
291,2024-10-18,0,None
292,2024-10-19,0,None
293,2024-10-20,0,None
294,2024-10-21,0,None
295,2024-10-22,0,None
296,2024-10-23,0,None
297,2024-10-24,0,None
298,2024-10-25,0,None
299,2024-10-26,0,None
300,2024-10-27,0,None
301,2024-10-28,0,None
302,2024-10-29,0,None
303,2024-10-30,0,None
304,2024-10-31,0,None
305,2024-11-01,0,None
306,2024-11-02,1,Finados
307,2024-11-03,0,None
308,2024-11-04,0,None
309,2024-11-05,0,None
310,2024-11-06,0,None
311,2024-11-07,0,None
312,2024-11-08,0,None
313,2024-11-09,0,None
314,2024-11-10,0,None
315,2024-11-11,0,None
316,2024-11-12,0,None
317,2024-11-13,0,None
318,2024-11-14,0,None
319,2024-11-15,1,Proclamação da República
320,2024-11-16,0,None
321,2024-11-17,0,None
322,2024-11-18,0,None
323,2024-11-19,0,None
324,2024-11-20,1,Dia Nacional de Zumbi e da Consciência Negra
325,2024-11-21,0,None
326,2024-11-22,0,None
327,2024-11-23,0,None
328,2024-11-24,0,None
329,2024-11-25,0,None
330,2024-11-26,0,None
331,2024-11-27,0,None
332,2024-11-28,0,None
333,2024-11-29,0,None
334,2024-11-30,0,None
335,2024-12-01,0,None
336,2024-12-02,0,None
337,2024-12-03,0,None
338,2024-12-04,0,None
339,2024-12-05,0,None
340,2024-12-06,0,None
341,2024-12-07,0,None
342,2024-12-08,0,None
343,2024-12-09,0,None
344,2024-12-10,0,None
345,2024-12-11,0,None
346,2024-12-12,0,None
347,2024-12-13,0,None
348,2024-12-14,0,None
349,2024-12-15,0,None
350,2024-12-16,0,None
351,2024-12-17,0,None
352,2024-12-18,0,None
353,2024-12-19,0,None
354,2024-12-20,0,None
355,2024-12-21,0,None
356,2024-12-22,0,None
357,2024-12-23,0,None
358,2024-12-24,0,None
359,2024-12-25,1,Natal
360,2024-12-26,0,None
361,2024-12-27,0,None
362,2024-12-28,0,None
363,2024-12-29,0,None
364,2024-12-30,0,None
365,2024-12-31,0,None
366,2025-01-01,1,Confraternização Universal
367,2025-01-02,0,None
368,2025-01-03,0,None
369,2025-01-04,0,None
370,2025-01-05,0,None
371,2025-01-06,0,None
372,2025-01-07,0,None
373,2025-01-08,0,None
374,2025-01-09,0,None
375,2025-01-10,0,None
376,2025-01-11,0,None
377,2025-01-12,0,None
378,2025-01-13,0,None
379,2025-01-14,0,None
380,2025-01-15,0,None
381,2025-01-16,0,None
382,2025-01-17,0,None
383,2025-01-18,0,None
384,2025-01-19,0,None
385,2025-01-20,0,None
386,2025-01-21,0,None
387,2025-01-22,0,None
388,2025-01-23,0,None
389,2025-01-24,0,None
390,2025-01-25,0,None
391,2025-01-26,0,None
392,2025-01-27,0,None
393,2025-01-28,0,None
394,2025-01-29,0,None
395,2025-01-30,0,None
396,2025-01-31,0,None
397,2025-02-01,0,None
398,2025-02-02,0,None
399,2025-02-03,0,None
400,2025-02-04,0,None
401,2025-02-05,0,None
402,2025-02-06,0,None
403,2025-02-07,0,None
404,2025-02-08,0,None
405,2025-02-09,0,None
406,2025-02-10,0,None
407,2025-02-11,0,None
408,2025-02-12,0,None
409,2025-02-13,0,None
410,2025-02-14,0,None
411,2025-02-15,0,None
412,2025-02-16,0,None
413,2025-02-17,0,None
414,2025-02-18,0,None
415,2025-02-19,0,None
416,2025-02-20,0,None
417,2025-02-21,0,None
418,2025-02-22,0,None
419,2025-02-23,0,None
420,2025-02-24,0,None
421,2025-02-25,0,None
422,2025-02-26,0,None
423,2025-02-27,0,None
424,2025-02-28,0,None
425,2025-03-01,0,None
426,2025-03-02,0,None
427,2025-03-03,0,None
428,2025-03-04,0,None
429,2025-03-05,0,None
430,2025-03-06,0,None
431,2025-03-07,0,None
432,2025-03-08,0,None
433,2025-03-09,0,None
434,2025-03-10,0,None
435,2025-03-11,0,None
436,2025-03-12,0,None
437,2025-03-13,0,None
438,2025-03-14,0,None
439,2025-03-15,0,None
440,2025-03-16,0,None
441,2025-03-17,0,None
442,2025-03-18,0,None
443,2025-03-19,0,None
444,2025-03-20,0,None
445,2025-03-21,0,None
446,2025-03-22,0,None
447,2025-03-23,0,None
448,2025-03-24,0,None
449,2025-03-25,0,None
450,2025-03-26,0,None
451,2025-03-27,0,None
452,2025-03-28,0,None
453,2025-03-29,0,None
454,2025-03-30,0,None
455,2025-03-31,0,None
456,2025-04-01,0,None
457,2025-04-02,0,None
458,2025-04-03,0,None
459,2025-04-04,0,None
460,2025-04-05,0,None
461,2025-04-06,0,None
462,2025-04-07,0,None
463,2025-04-08,0,None
464,2025-04-09,0,None
465,2025-04-10,0,None
466,2025-04-11,0,None
467,2025-04-12,0,None
468,2025-04-13,0,None
469,2025-04-14,0,None
470,2025-04-15,0,None
471,2025-04-16,0,None
472,2025-04-17,0,None
473,2025-04-18,1,Sexta-feira Santa
474,2025-04-19,0,None
475,2025-04-20,0,None
476,2025-04-21,1,Tiradentes
477,2025-04-22,0,None
478,2025-04-23,0,None
479,2025-04-24,0,None
480,2025-04-25,0,None
481,2025-04-26,0,None
482,2025-04-27,0,None
483,2025-04-28,0,None
484,2025-04-29,0,None
485,2025-04-30,0,None
